Procedimiento:,Motivo del llamado:,Tipo:,Área:,Subárea:,Estado:,Tiempo de respuesta:,Campo descripción:,Importante
ATENCIÓN DE LOS PLANES MANDATO,Cliente consulta por Plan Mandato,Consulta,Plan Mandato,Información sobre producto,Cerrado + ctrl “s”,NA,Breve Descripción de la consulta,"<strong><span style=""color:#005CFF;"">🔔 Tips sobre planes Mandato en general ✅</span></strong><br>➖Si el cliente se comunica, adquirió el Plan Mandato en Falabella y no pudo activar la SIM, se debe dirigir a una de nuestras tiendas para que se la activen.<br>➖Para identificar si el cliente tiene Plan Mandato o Mandato Light, debes preguntar si paga cuotas mensuales por el equipo en el Retail o si pagó el equipo con otro medio de pago. Si sigue pagando cuotas al Retail es un Plan Mandato normal, mientras que si pagó el equipo con otro medio, es un Plan Mandato Light.<br>➖Si recibes clientes informando que el titular del plan falleció, asesóralo diciendo que debe llevar el certificado de defunción al Retail donde contrató el Plan Mandato para que se gestione la excepción del cobro del plan y equipo.<br><br><strong><span style=""color:#005CFF;"">🔔 Noticias relacionadas:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-planes-mandato-actualizan-su-oferta-comercial"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ [CR] Planes mandato actualizan su oferta comercial</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/productos-y-servicios/movil/suscripcion/planes-mandato-suscripcion"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Planes Mandato (Suscripción)</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-recuerda-tipificar-como-problema-la-solicitud-del-cliente-que-pide-volver-a-plan-mandato"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Cliente pide volver a Plan Mandato</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-conoce-todo-sobre-los-planes-mandato-light"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Plan Mandato Light</a><br>"
ATENCIÓN DE LOS PLANES MANDATO,Requerimiento anterior en curso: Planes Mandato,Solicitud,Cliente,Estado de Solicitudes,Cerrado + ctrl “s”,NA,"Se indica a cliente que su reclamo aún se encuentra en revisión, y se dará respuesta en XX días.","Se registra desde OT presionando el botón ubicado en la sección <strong><span style=""color:#005CFF;"">&quot;5 últimas solicitudes&quot;</span></strong> e incluyendo la información en el campo <strong><span style=""color:#005CFF;"">&quot;Descripción&quot;</span></strong>: <br><a href=""https://i.ibb.co/NZ3QSNp/image.png"" target=""_blank""> <img src=""https://i.ibb.co/NZ3QSNp/image.png"" width=""100%"" height=""auto"" /> </a>"
ATENCIÓN DE LOS PLANES MANDATO,Cliente consulta cuanto tiempo le queda a su Plan Mandato,Consulta,Plan Mandato,Información sobre producto,Cerrado + ctrl “s”,NA,Se informa a cliente que debe comunicarse con Retail para conocer el tiempo restante de su Plan Mandato,"<strong><span style=""color:#005CFF;"">🔔 Tips sobre planes Mandato en general ✅</span></strong><br>➖Si el cliente se comunica, adquirió el Plan Mandato en Falabella y no pudo activar la SIM, se debe dirigir a una de nuestras tiendas para que se la activen.<br>➖Para identificar si el cliente tiene Plan Mandato o Mandato Light, debes preguntar si paga cuotas mensuales por el equipo en el Retail o si pagó el equipo con otro medio de pago. Si sigue pagando cuotas al Retail es un Plan Mandato normal, mientras que si pagó el equipo con otro medio, es un Plan Mandato Light.<br>➖Si recibes clientes informando que el titular del plan falleció, asesóralo diciendo que debe llevar el certificado de defunción al Retail donde contrató el Plan Mandato para que se gestione la excepción del cobro del plan y equipo.<br><br><strong><span style=""color:#005CFF;"">🔔 Noticias relacionadas:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-planes-mandato-actualizan-su-oferta-comercial"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ [CR] Planes mandato actualizan su oferta comercial</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/productos-y-servicios/movil/suscripcion/planes-mandato-suscripcion"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Planes Mandato (Suscripción)</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-recuerda-tipificar-como-problema-la-solicitud-del-cliente-que-pide-volver-a-plan-mandato"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Cliente pide volver a Plan Mandato</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-conoce-todo-sobre-los-planes-mandato-light"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Plan Mandato Light</a><br>"
ATENCIÓN DE LOS PLANES MANDATO,Cliente desea adquirir Plan Mandato,Consulta,Plan Mandato,Información sobre producto,Cerrado + ctrl “s”,NA,Se informa a cliente que este tipo de planes se pueden contratar solo por el Retail.,"<strong><span style=""color:#005CFF;"">🔔 Tips sobre planes Mandato en general ✅</span></strong><br>➖Si el cliente se comunica, adquirió el Plan Mandato en Falabella y no pudo activar la SIM, se debe dirigir a una de nuestras tiendas para que se la activen.<br>➖Para identificar si el cliente tiene Plan Mandato o Mandato Light, debes preguntar si paga cuotas mensuales por el equipo en el Retail o si pagó el equipo con otro medio de pago. Si sigue pagando cuotas al Retail es un Plan Mandato normal, mientras que si pagó el equipo con otro medio, es un Plan Mandato Light.<br>➖Si recibes clientes informando que el titular del plan falleció, asesóralo diciendo que debe llevar el certificado de defunción al Retail donde contrató el Plan Mandato para que se gestione la excepción del cobro del plan y equipo.<br><br><strong><span style=""color:#005CFF;"">🔔 Noticias relacionadas:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-planes-mandato-actualizan-su-oferta-comercial"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ [CR] Planes mandato actualizan su oferta comercial</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/productos-y-servicios/movil/suscripcion/planes-mandato-suscripcion"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Planes Mandato (Suscripción)</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-recuerda-tipificar-como-problema-la-solicitud-del-cliente-que-pide-volver-a-plan-mandato"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Cliente pide volver a Plan Mandato</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-conoce-todo-sobre-los-planes-mandato-light"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Plan Mandato Light</a><br>"
ATENCIÓN DE LOS PLANES MANDATO,Cliente desea volver a Plan Mandato (Debido a BAJA o CAMBIO DE PLAN),Problema,Cargo Fijo,Cambio de plan,Pendiente + ctrl “s”,5 Días Hábiles,Diferencias del PLAN MANDATO <br> • RUT cliente: <br> • Número de celular afectado: <br>• Plan mandato que hay que asignarle: <br>• Teléfono contacto del cliente: (distinto al número afectado) <br> • Descripción del problema: ,"<strong><span style=""color:#005CFF;"">🔔 Tips sobre planes Mandato en general ✅</span></strong><br>➖Si el cliente se comunica, adquirió el Plan Mandato en Falabella y no pudo activar la SIM, se debe dirigir a una de nuestras tiendas para que se la activen.<br>➖Para identificar si el cliente tiene Plan Mandato o Mandato Light, debes preguntar si paga cuotas mensuales por el equipo en el Retail o si pagó el equipo con otro medio de pago. Si sigue pagando cuotas al Retail es un Plan Mandato normal, mientras que si pagó el equipo con otro medio, es un Plan Mandato Light.<br>➖Si recibes clientes informando que el titular del plan falleció, asesóralo diciendo que debe llevar el certificado de defunción al Retail donde contrató el Plan Mandato para que se gestione la excepción del cobro del plan y equipo.<br><br><strong><span style=""color:#005CFF;"">🔔 Noticias relacionadas:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-planes-mandato-actualizan-su-oferta-comercial"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ [CR] Planes mandato actualizan su oferta comercial</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/productos-y-servicios/movil/suscripcion/planes-mandato-suscripcion"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Planes Mandato (Suscripción)</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-recuerda-tipificar-como-problema-la-solicitud-del-cliente-que-pide-volver-a-plan-mandato"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Cliente pide volver a Plan Mandato</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-conoce-todo-sobre-los-planes-mandato-light"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Plan Mandato Light</a><br>"
ATENCIÓN DE LOS PLANES MANDATO,Cliente desea cambiar a un Plan Mandato más alto,Problema,Cargo Fijo,Cambio de plan,Pendiente + ctrl “s”,5 Días Hábiles,PLAN MANDATO AL ALZA<br> • RUT cliente: <br> • Número de celular afectado: <br> • Plan mandato que hay que asignarle: <br>• Teléfono contacto del cliente: (distinto al número afectado) <br>• Descripción del problema: ,"<strong><span style=""color:#005CFF;"">🔔 Tips sobre planes Mandato en general ✅</span></strong><br>➖Si el cliente se comunica, adquirió el Plan Mandato en Falabella y no pudo activar la SIM, se debe dirigir a una de nuestras tiendas para que se la activen.<br>➖Para identificar si el cliente tiene Plan Mandato o Mandato Light, debes preguntar si paga cuotas mensuales por el equipo en el Retail o si pagó el equipo con otro medio de pago. Si sigue pagando cuotas al Retail es un Plan Mandato normal, mientras que si pagó el equipo con otro medio, es un Plan Mandato Light.<br>➖Si recibes clientes informando que el titular del plan falleció, asesóralo diciendo que debe llevar el certificado de defunción al Retail donde contrató el Plan Mandato para que se gestione la excepción del cobro del plan y equipo.<br><br><strong><span style=""color:#005CFF;"">🔔 Noticias relacionadas:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-planes-mandato-actualizan-su-oferta-comercial"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ [CR] Planes mandato actualizan su oferta comercial</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/productos-y-servicios/movil/suscripcion/planes-mandato-suscripcion"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Planes Mandato (Suscripción)</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-recuerda-tipificar-como-problema-la-solicitud-del-cliente-que-pide-volver-a-plan-mandato"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Cliente pide volver a Plan Mandato</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-conoce-todo-sobre-los-planes-mandato-light"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Plan Mandato Light</a><br>"
ATENCIÓN DE LOS PLANES MANDATO,Plan Mandato Light $17.990,NA,NA,NA,NA,NA,NA,"Estos planes tienen la misma lógica que un plan Mandato regular, pero el cliente no está obligado a cumplir los 18 meses de los otros planes Mandato. Solo debe cumplir el período requerido por el proceso de portabilidad, en el que no se puede cambiar de plan o portar a otra compañía (si es que se portó antes de 120 días) 😉<br><br><strong><span style=""color:#005CFF;"">Condiciones Comerciales Plan Mandato Light 📑</span></strong><br>1️⃣¿Qué es? Es un plan simple a precio de plan Mandato.<br>2️⃣Cuando el cliente haya cumplido el período de 120 días (por temas de portabilidad) se puede cambiar de plan o portar.<br>3️⃣Si el cliente se porta, no se genera cobro. Esto porque el cliente pagó el equipo sin generar cuotas con el Retail.<br>4️⃣ El Plan Mandato Light tiene un cargo fijo de $17.990 e incluye 120GB, 1.799 minutos, 400 mensajes y Redes Sociales Libres (WhatsApp, Facebook, Facebook Messenger, Twitter, Instagram, Spotify y Apple Music).<br><br><strong><span style=""color:#005CFF;"">🔔 Tips sobre planes Mandato en general ✅</span></strong><br>➖Si el cliente se comunica, adquirió el Plan Mandato en Falabella y no pudo activar la SIM, se debe dirigir a una de nuestras tiendas para que se la activen.<br>➖Para identificar si el cliente tiene Plan Mandato o Mandato Light, debes preguntar si paga cuotas mensuales por el equipo en el Retail o si pagó el equipo con otro medio de pago. Si sigue pagando cuotas al Retail es un Plan Mandato normal, mientras que si pagó el equipo con otro medio, es un Plan Mandato Light.<br>➖Si recibes clientes informando que el titular del plan falleció, asesóralo diciendo que debe llevar el certificado de defunción al Retail donde contrató el Plan Mandato para que se gestione la excepción del cobro del plan y equipo.<br><br><strong><span style=""color:#005CFF;"">🔔 Noticias relacionadas:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-planes-mandato-actualizan-su-oferta-comercial"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ [CR] Planes mandato actualizan su oferta comercial</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/productos-y-servicios/movil/suscripcion/planes-mandato-suscripcion"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Planes Mandato (Suscripción)</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-recuerda-tipificar-como-problema-la-solicitud-del-cliente-que-pide-volver-a-plan-mandato"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Cliente pide volver a Plan Mandato</a><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-conoce-todo-sobre-los-planes-mandato-light"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0; font-weight: bold; color: #10069F;"">➖ Plan Mandato Light</a><br>"
"BLOQUEO O DESBLOQUEO POR ROBO, HURTO, EXTRAVÍO O MORA",Problemas con IMEI de equipo,Solicitud,Bloqueo Equipo, ➖Robo / Hurto o Extravío,Pendiente + ctrl “s”,,IMEI:,"<strong><span style=""color:#005CFF;"">🔔 Obtener IMEI mediante OTA Vodafone</span></strong><br>➖ Úsalo cuando el cliente no conozca su IMEI.<br><a href=""https://i.ibb.co/fVfhPzdz/image.png"" target=""_blank""><img src=""https://i.ibb.co/fVfhPzdz/image.png"" width=""100%"" height=""auto""></a><br><strong><span style=""color:#005CFF;"">🟦 Paso 1:</span></strong> Ingresa a la plataforma y busca el número del cliente.<br><a href=""https://i.ibb.co/HLGx4kMg/image.png"" target=""_blank""><img src=""https://i.ibb.co/HLGx4kMg/image.png"" width=""100%"" height=""auto""></a><br><strong><span style=""color:#005CFF;"">🟦 Paso 2:</span></strong> Valida el modelo y el IMEI mostrado con el cliente.<br><a href=""https://i.ibb.co/BH7wpTpH/image.png"" target=""_blank""><img src=""https://i.ibb.co/BH7wpTpH/image.png"" width=""100%"" height=""auto""></a><br><strong><span style=""color:#FF3D00;"">🔐 Bloqueo del equipo</span></strong><br>➖ Si el IMEI corresponde, genera ticket: el sistema mostrará error si intentas bloquear ingresando el IMEI manualmente.<br><a href=""https://i.ibb.co/twXyjS3m/image.png"" target=""_blank""><img src=""https://i.ibb.co/twXyjS3m/image.png"" width=""100%"" height=""auto""></a><br><strong><span style=""color:#FD6C98;"">📌 Consideraciones importantes</span></strong><br>➖ Tipos disponibles: <strong>Robo/Hurto</strong>, <strong>Extravío</strong> y <strong>Voluntad propia</strong>.<br>➖ En robo/hurto se bloquea línea y equipo; en extravío, según indique el cliente.<br>➖ En extravío, el cliente debe definir clave de 4 dígitos para su futuro desbloqueo.<br>➖ Cliente prepago anónimo: no requiere validación de identidad.<br>➖ Bloqueo por voluntad propia se realiza por IVR <strong>800 367 626</strong> y no queda visible en sistema.<br>➖ Si posee One Number, debes eliminar el dispositivo asociado.<br><strong><span style=""color:#005CFF;"">🔗 Procedimiento oficial:</span></strong> <a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/bloqueo-o-desbloqueo-por-robo-hurto-o-extravio-equipo-linea-movil-onenumber"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Ver procedimiento</a>"
"BLOQUEO O DESBLOQUEO POR ROBO, HURTO, EXTRAVÍO O MORA",Problemas con desbloqueo,Solicitud,Desbloqueo de equipo,Extravío,Pendiente + ctrl “s”,,IMEI:,"<strong><span style=""color:#005CFF;"">🔔 Validación de bloqueo por Extravío en Siebel</span></strong><br>➖ Si el bloqueo no aparece en sistema, valida ticket con: <strong>Tipo:</strong> Solicitud; <strong>Área:</strong> Bloqueo equipo; <strong>Subárea:</strong> Extravío; debe incluir el IMEI.<br><a href=""https://i.ibb.co/GvGMCjPR/image.png"" target=""_blank""><img src=""https://i.ibb.co/GvGMCjPR/image.png"" width=""100%"" height=""auto""></a><br><strong><span style=""color:#42E8B4;"">🔓 Desbloqueo permitido</span></strong><br>➖ Solo procede si: existe bloqueo previo en One Touch, el cliente no tiene deuda y entrega la clave de 4 dígitos creada al bloquear.<br><strong><span style=""color:#FF3D00;"">❗ Casos especiales</span></strong><br>➖ Robo/Hurto: desbloqueo solo en tienda (titular o tercero autorizado con QR).<br>➖ Extravío sin clave o con 3 intentos fallidos: cliente debe ir a tienda con cédula.<br>➖ Voluntad propia: se desbloquea únicamente por IVR <strong>800 367 626</strong> con la clave definida al bloquear.<br><strong><span style=""color:#FD6C98;"">📌 Consideraciones generales</span></strong><br>➖ Tipos disponibles: <strong>Robo/Hurto</strong>, <strong>Extravío</strong>, <strong>Voluntad propia</strong>.<br>➖ Cliente prepago anónimo no requiere validación.<br>➖ La suspensión no exime el pago del cargo fijo del plan.<br>➖ Bloqueos por voluntad propia no aparecen en sistema; el cliente debe gestionar todo por IVR.<br><strong><span style=""color:#005CFF;"">🔗 Procedimiento oficial:</span></strong> <a href=""https://enteratepersonas.portal-comunicaciones.com/procedimientos/bloqueo-o-desbloqueo-por-robo-hurto-o-extravio-equipo-linea-movil-onenumber"" target=""_blank"" style=""color:#10069F; font-weight:bold;"">➖ Ver procedimiento</a>"
"BLOQUEO O DESBLOQUEO POR ROBO, HURTO, EXTRAVÍO O MORA",Bloqueo de equipos por cuotas de financiamiento interno atrasadas,NA,NA,NA,NA,NA,NA,"<strong><span style=""color:#005CFF;"">🔔 Todo lo que debes saber sobre el bloqueo de equipos por cuotas de financiamiento interno atrasadas</span></strong><br><br><strong>Fecha publicación:</strong> 13 de noviembre 2025 • <strong>3 min de lectura</strong><br><br>En algunos modelos Xiaomi se está implementando una nueva funcionalidad que restringe el uso del equipo cuando existen cuotas impagas de financiamiento interno. Es clave conocer este proceso para orientar correctamente al cliente y gestionar el desbloqueo cuando la deuda ya fue regularizada.<br><br><strong><span style=""color:#10069F;"">Equipos donde se está aplicando:</span></strong><br>• Xiaomi Redmi Note 14<br>• Xiaomi Redmi Note 14 Pro+<br>• Xiaomi Redmi 15<br>• Xiaomi 15T<br>• Xiaomi 15T Pro<br><br>Esta aplicación se activa <strong>de forma aleatoria</strong> en los modelos indicados.<br><br><strong><span style=""color:#10069F;"">1) Pantallas de advertencia al encender el equipo</span></strong><br>Al encender por primera vez alguno de estos modelos, el cliente podría ver mensajes que advierten sobre la restricción en caso de cuotas impagas.<br>Explícale que estas pantallas forman parte de una política oficial de Google y que son completamente seguras.<br><br><strong><span style=""color:#10069F;"">2) Instalación automática de la app “Telecoms Client”</span></strong><br>Estos modelos pueden instalar automáticamente la aplicación “Telecoms Client”. No afecta el uso del equipo.<br>Ten en cuenta:<br>• Si el financiamiento es externo → el cliente puede eliminar la aplicación.<br>• Si el financiamiento es interno → no podrá eliminarla hasta terminar el pago total del equipo.<br><br><strong><span style=""color:#10069F;"">3) Mensajes dentro de la app según estado de pago</span></strong><br>• Equipos con pagos al día: mensaje normal.<br>• Equipos con mora: se mostrará aviso de restricción.<br><br>Si el cliente está sin servicio y aparece el mensaje después de haber pagado, debes seguir el flujo de desbloqueo.<br><br><strong><span style=""color:#005CFF;"">Flujo para gestionar el desbloqueo (cuando el cliente ya pagó)</span></strong><br><br><strong>1.</strong> Realiza diagnóstico en OneTouch: ir a “Otros productos” → “Consultar”. Esto mostrará el estado actual del equipo.<br><strong>2.</strong> Si aparece “Bloqueo parcial – TRUSTONIC” o “Bloqueo total – TRUSTONIC”, valida que las cuotas estén pagadas (todas las boletas emitidas deben estar al día).<br><strong>3.</strong> Si el pago está al día, escálalo a tu supervisor por interno indicando:<br>• RUT del cliente<br>• IMEI del equipo<br>• Breve descripción de la situación<br>El supervisor debe ingresar el ticket en Hélix.<br><strong>4.</strong> En Hélix: ir a categoría “Portal legados” → “Cobranza” → “Bloqueo Equipo Mora Pers”.<br><strong>5.</strong> Ingresar todos los datos solicitados y enviar la petición.<br><br>Recuerda siempre validar que los pagos estén al día antes de solicitar el desbloqueo.<br><br><strong><span style=""color:#10069F;"">Consideración final:</span></strong><br>El objetivo de esta funcionalidad es asegurar el cumplimiento de los compromisos de financiamiento, sin afectar la experiencia del usuario cuando sus pagos están al día. Entrega siempre una atención clara, empática y orientada a resolver. 🤝🏼<br><br><strong><span style=""color:#005CFF;"">Noticia en Entérate:</span></strong><br><a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-todo-lo-que-debes-saber-sobre-el-bloqueo-de-equipos-por-cuotas-de-financiamiento-interno-atrasadas"" target=""_blank"" style=""color:#10069F;"">➖ Todo lo que debes saber sobre el bloqueo de equipos por cuotas de financiamiento interno atrasadas</a>"
